기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억)
맥쿼리인프라,N/A,N/A,N/A,21.81,3.70%,N/A,N/A,N/A
현대제철,"54,379억원",3.72,68.79,4.11,2.45%,"127,758.4","74,668.4","13,809.2"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
메리츠금융지주,"53,207억원",7.65,4.83,3.84,2.22%,"35,745.9",8.1,
미래에셋증권,"52,302억원",5.83,9.6,3.80,3.53%,"209,556.2","105,068.0",
현대건설,"52,838억원",13.00,18.35,8.41,1.26%,"145,264.0","76,132.2","29,268.6"
코웨이,"49,593억원",10.65,16.78,11.13,1.86%,"11,064.5","12,931.8",731.3
삼성중공업,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
삼성엔지니어링,"50,568억원",13.58,22.57,8.41,N/A,"44,424.9","38,526.9","11,383.1"
DB손해보험,"49,772억원",6.24,8.16,7.55,3.13%,"6,778.5","64,743.7",
금호석유,"46,959억원",2.64,8.3,8.63,6.45%,"34,452.1","23,602.8","6,229.4"
일진머티리얼즈,"44,036억원",70.15,56.04,20.84,0.31%,"9,594.1","1,485.6","2,345.8"
메리츠증권,"44,790억원",6.21,5.94,3.80,1.52%,"50,257.5","52,099.7",
한국금융지주,"43,132억원",2.70,5.8,3.80,7.95%,"153,049.3",86.8,
현대중공업지주,"42,656억원",N/A,19.05,12.84,10.28%,"134,023.5","116,859.0","21,370.6"
유한양행,"43,207억원",42.80,44.97,83.29,0.65%,"12,241.0","4,319.8","2,535.9"
한국타이어앤테크놀로지,"42,923억원",7.18,10.41,13.50,2.02%,"55,092.4","18,691.8","10,620.4"
쌍용C&E,"41,065억원",22.08,19.01,23.68,5.40%,"6,292.4","6,651.6","1,081.8"
한진칼,"41,926억원",244.41,121.94,N/A,N/A,"4,057.9","13,070.7","1,213.7"
GS,"40,836억원",2.87,5.73,12.84,4.55%,"53,888.5","55,017.8","12,049.6"
한국항공우주,"40,793억원",63.84,39.26,30.50,0.48%,"36,809.9","28,000.7","8,865.9"
이마트,"39,444억원",2.51,10.62,6.62,1.41%,"51,883.5","98,169.7","10,101.7"
아모레G,"38,426억원",24.85,138.71,32.56,0.97%,"30,154.7","12,732.8","8,706.0"
두산밥캣,"38,796억원",10.05,12.06,18.92,3.10%,"26,459.4","14,982.4","9,517.6"
NH투자증권,"37,976억원",3.73,8.15,3.80,9.17%,"90,399.2","68,181.5",
GS건설,"39,881억원",9.72,7.31,8.41,2.79%,"81,951.1","67,693.3","27,183.9"
삼성카드,"37,307억원",6.77,10.5,6.77,7.14%,"14,697.2",N/A,500.2
삼성증권,"37,685억원",3.90,8.04,3.80,9.00%,"180,007.5","60,809.3",
한국가스공사,"35,817억원",3.77,34.23,5.65,7.03%,"131,477.4","140,216.6","5,645.2"
팬오션,"35,870억원",6.53,17.11,3.17,1.49%,"13,587.1","11,494.1","5,215.9"
오리온,"35,227억원",13.67,23.9,11.87,0.84%,"11,462.3","5,219.1","5,504.1"
롯데지주,"34,200억원",11.19,15.53,11.87,4.60%,"47,724.6","45,670.0","13,944.7"
현대오토에버,"34,280억원",46.27,36.35,38.71,0.56%,"14,710.5","7,213.7","1,402.9"
한미약품,"33,628억원",50.17,163.23,83.29,0.18%,"7,039.6","6,489.4","2,092.2"
호텔신라,"32,694억원",123.11,74.68,N/A,0.24%,"10,872.3","10,117.7","2,428.7"
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DB하이텍,"32,589억원",10.31,9.21,10.64,0.61%,"8,151.6","3,353.4","1,830.2"
한전기술,"31,646억원",192.35,70.02,N/A,0.29%,N/A,N/A,N/A
현대차,"380,329억원",9.97,18.68,7.31,2.81%,"533,127.6","642,367.9","127,955.5"
한미사이언스,"30,469억원",70.95,183.01,83.29,0.44%,"2,225.6","2,210.0",165.9
BGF리테일,"31,025억원",21.01,20.0,6.62,1.67%,"8,083.3","10,164.6",544.4
한화시스템,"30,605억원",25.72,26.09,30.50,0.99%,N/A,N/A,N/A
현대미포조선,"30,596억원",N/A,22.11,N/A,N/A,"20,467.0","16,120.0","4,003.7"
KCC,"29,992억원",N/A,49.6,23.68,2.07%,"36,681.3","26,999.7","5,412.0"
GS리테일,"29,688억원",3.16,18.79,6.62,4.23%,"11,839.3","20,552.0",913.6
CJ대한통운,"28,858억원",52.72,62.56,10.47,N/A,"23,482.2","24,489.2","2,295.0"
제일기획,"27,265억원",16.48,18.02,19.89,4.18%,"20,186.0","12,242.2","5,043.1"
현대해상,"28,697억원",7.50,8.17,7.55,3.12%,"11,023.5","40,715.7",
롯데쇼핑,N/A,N/A,N/A,6.62,2.87%,N/A,N/A,N/A
대우건설,"28,636억원",5.91,7.74,8.41,N/A,"71,488.9","50,489.6","10,610.4"
한화생명,"27,402억원",3.58,11.04,5.09,0.95%,"15,582.6","256,075.6",
에스원,"26,941억원",20.89,26.85,17.18,3.53%,"8,643.6","4,172.7","2,189.0"
