기업 이름,시가총액(억),PER,5년 평균 PER,업종 평균 PER,현금배당수익률,유동자산(억),유동부채(억),현금 및 현금성 자산(억),순운전자본 + 현금,시가총액,염가 여부,염가 비율
넷마블,"92,830억원",38.63,45.98,22.14,0.49%,"19,625.70","30,562.10","13,537.20","2,600.80","92,830",FALSE,97.20%
SK아이이테크놀로지,"88,766억원",89.36,71.67,77.54,N/A,N/A,N/A,N/A,#VALUE!,"88,766",#VALUE!,
LG이노텍,"91,000억원",10.24,18.48,20.84,0.78%,"41,133.60","33,102.70","5,658.70","13,689.60","91,000",FALSE,84.96%
기업은행,"81,501억원",3.61,5.04,5.82,7.12%,"198,514.80", ,,#VALUE!,"81,501",#VALUE!,
SK스퀘어,"79,646억원",3.49,4.05,10.64,N/A,N/A,N/A,N/A,#VALUE!,"79,646",#VALUE!,
LG디스플레이,"71,921억원",6.06,6.67,6.21,3.23%,"131,870.70","139,948.20","35,416.00","27,338.50","71,921",FALSE,61.99%
SK바이오팜,"69,542억원",107.24,108.3,83.29,N/A,"4,712.20","1,483.10","2,259.20","5,488.30","69,542",FALSE,
롯데케미칼,"70,607억원",5.25,17.52,8.63,4.03%,"94,307.20","45,791.50","16,029.00","64,544.70","70,607",FALSE,8.59%
현대글로비스,"71,250억원",9.1,9.73,10.47,2.00%,"69,682.10","39,429.60","16,453.30","46,705.80","71,250",FALSE,34.45%
한화솔루션,"68,382억원",10.82,15.07,8.63,N/A,"60,739.60","57,878.90","15,671.60","18,532.30","68,382",FALSE,
한온시스템,"62,455억원",20.24,33.4,13.5,3.08%,"35,517.30","28,134.80","14,037.60","21,420.10","62,455",FALSE,65.70%
LG유플러스,"61,126억원",8.58,12.13,6.03,3.93%,"51,644.20","50,736.60","7,703.20","8,610.80","61,126",FALSE,85.91%
한국조선해양,"60,936억원",N/A,28.55,N/A,N/A,"145,622.00","112,864.70","45,674.70","78,432.00","60,936",FALSE,
SKC,"58,507억원",26.49,36.84,8.63,0.71%,"18,200.30","17,200.50","7,221.50","8,221.30","58,507",FALSE,85.95%
강원랜드,"59,903억원",N/A,19.65,N/A,N/A,"16,570.30","5,067.60","2,064.00","13,566.70","59,903",FALSE,
F&F,"59,759억원",17.15,14.59,6.21,0.71%,N/A,N/A,N/A,#VALUE!,"59,759",#VALUE!,
CJ제일제당,"57,131억원",10.14,13.4,11.87,1.32%,"77,256.00","79,158.70","10,968.70","9,066.00","57,131",FALSE,84.13%
에스디바이오센서,"56,593억원",5.04,7.44,18.85,2.31%,N/A,N/A,N/A,#VALUE!,"56,593",#VALUE!,
메리츠화재,"57,478억원",9.89,6.98,7.55,2.69%,"2,417.20", ,,#VALUE!,"57,478",#VALUE!,
맥쿼리인프라,N/A,N/A,N/A,21.81,3.70%,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
현대제철,"54,379억원",3.72,68.79,4.11,2.45%,"127,758.40","74,668.40","13,809.20","66,899.20","54,379",TRUE,-23.02%
ETF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
메리츠금융지주,"53,207억원",7.65,4.83,3.84,2.22%,"35,745.90",8.1,,"35,737.80","53,207",FALSE,
미래에셋증권,"52,302억원",5.83,9.6,3.8,3.53%,"209,556.20","105,068.00",,"104,488.20","52,302",FALSE,
현대건설,"52,838억원",13,18.35,8.41,1.26%,"145,264.00","76,132.20","29,268.60","98,400.40","52,838",TRUE,-86.23%
코웨이,"49,593억원",10.65,16.78,11.13,1.86%,"11,064.50","12,931.80",731.3,"-1,136.00","49,593",FALSE,102.29%
삼성중공업,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N,#VALUE!,
삼성엔지니어링,"50,568억원",13.58,22.57,8.41,N/A,"44,424.90","38,526.90","11,383.10","17,281.10","50,568",FALSE,
DB손해보험,"49,772억원",6.24,8.16,7.55,3.13%,"6,778.50","64,743.70",,"-57,965.20","49,772",FALSE,
금호석유,"46,959억원",2.64,8.3,8.63,6.45%,"34,452.10","23,602.80","6,229.40","17,078.70","46,959",FALSE,63.63%
일진머티리얼즈,"44,036억원",70.15,56.04,20.84,0.31%,"9,594.10","1,485.60","2,345.80","10,454.30","44,036",FALSE,76.26%
메리츠증권,"44,790억원",6.21,5.94,3.8,1.52%,"50,257.50","52,099.70",,"-1,842.20","44,790",FALSE,
한국금융지주,"43,132억원",2.7,5.8,3.8,7.95%,"153,049.30",86.8,,"152,962.50","43,132",FALSE,
현대중공업지주,"42,656억원",N/A,19.05,12.84,10.28%,"134,023.50","116,859.00","21,370.60","38,535.10","42,656",FALSE,9.66%
유한양행,"43,207억원",42.8,44.97,83.29,0.65%,"12,241.00","4,319.80","2,535.90","10,457.10","43,207",FALSE,75.80%
한국타이어앤테크놀로지,"42,923억원",7.18,10.41,13.5,2.02%,"55,092.40","18,691.80","10,620.40","47,021.00","42,923",TRUE,-9.55%
쌍용C&E,"41,065억원",22.08,19.01,23.68,5.40%,"6,292.40","6,651.60","1,081.80",722.60,"41,065",FALSE,98.24%
한진칼,"41,926억원",244.41,121.94,N/A,N/A,"4,057.90","13,070.70","1,213.70","-7,799.10","41,926",FALSE,
GS,"40,836억원",2.87,5.73,12.84,4.55%,"53,888.50","55,017.80","12,049.60","10,920.30","40,836",FALSE,73.26%
