기업 이름,유동자산(억),유동부채(억),순운전자본(억),시가총액(억),시총/순운전자본
"('상상인', 21335.7, 3266.6, 20844.7, 5334.0, 25.59)",,,,,
"('네오위즈홀딩스', 3664.8, 584.3, 5402.5, 4464.0, 82.63)",,,,,
